BldgType,NoDamage,Affected,Minor,Major,Destroyed
C3L ,15.903964350000024,19.177517637610435,39.1078427284956,39.88577404618263,20.288300544023514
URMM,0.4471815899014473,0.8636439740657806,2.068983346223831,1.8472075462341309,0.8509833514690399
S2L ,802.0195254459977,369.25929334014654,327.937262352556,72.63383689709008,8.958786038092512
C2L ,3397.8606407213956,2189.5484237596393,1322.4171323450282,445.1732011808781,59.66919701987899
RM1L,3476.830158803612,1363.8252896945924,991.1238287705928,219.75393163098488,11.59148791647749
C1L ,269.9479229003191,137.880524456501,97.95946560055017,15.76812176220119,1.1507646201498574
PC2L,460.2953681498766,226.15345758199692,169.7449649758637,46.140288800233975,2.1908254295412917
PC2M,11.617449134588242,9.059925928711891,8.099408827722073,0.5965146783273667,0.06860119735938497
S2M ,20.70901222527027,21.53809779882431,16.399293914437294,1.0543722272850573,0.1509236294805305
S1H ,0.2472485974431038,0.588083952665329,0.8900041878223419,0.2545531913638115,0.026109999045729637
S4L ,784.5618767570704,323.4874239685014,257.06069768453017,75.90174269926501,6.000064241537075
C3M ,0.44592592120170593,0.5312353521585464,0.672245591878891,0.2573523223400116,0.07884079776704311
S1M ,14.293556988239288,14.513067096471786,10.299553275108337,1.4815793251618743,0.242042779980693
URML,82.84900983422995,107.83986262977123,173.85789036750793,137.31953936815262,98.72839641198516
RM2L,1493.1634354293346,739.4360907077789,542.0979440435767,127.71355993690668,7.642764760166756
S5L ,33.43220952525735,34.81831252574921,71.03908914327621,62.57034735381603,29.593341670930386
S1L ,731.8869646266103,445.8013720214367,343.8311120159924,65.43140403099824,14.50265018420032
C2M ,62.623683005571365,60.178814724087715,29.604970581829548,2.0084389888797887,0.49449420649034437
W2  ,4951.265697404742,3297.813102335669,1159.9674255307764,116.39752884124755,10.762735112570226
S4M ,23.414549827575684,18.120633006095886,14.55489857494831,1.0798985187429935,0.1955201349919662
S3  ,449.2758797518909,489.19505830388516,628.9854373959824,264.32254907418974,40.30678708845517
RM1M,52.58551302552223,35.21268931031227,27.61616338789463,2.9882969218306243,0.20913698385993484
MH  ,464.47831314988434,720.4396122023463,1182.6797982305288,648.5038208141923,100.658446774818
RM2M,40.948295786976814,33.11257793009281,27.311927944421768,1.95936802146025,0.10273056702135364
C2H ,0.3203312009572983,0.9613865911960602,0.7018204033374786,0.04764640051871538,0.002815400017425418
S4H ,0.3784787803888321,0.7601243555545807,0.7594943344593048,0.07311779260635376,0.002784599724691361
W1  ,159823.66546991467,108008.53700092435,30031.24764141906,1626.6021492313157,404.0910896188434
PC1 ,1124.7337572686374,835.3213266059756,795.2773077860475,179.1056459734682,31.4093528171652
C1H ,1.1018508076667786,2.2857177555561066,2.515394777059555,0.22813807986676693,0.017598479753360152
RM2H,1.213769555091858,2.6603446304798126,3.7307284772396088,0.4489472173154354,0.01831009949091822
C1M ,23.119510129094124,22.943241640925407,15.39663414657116,0.8734923431184143,0.11542147982254392
