tract,EconLoss,NoDamage,Affected,Minor,Major,Destroyed,Fatalities_Night,Fatalities_Day,Injury_NightLevel1,Injury_NightLevel2,Injury_NightLevel3,Injury_DayLevel1,Injury_DayLevel2,Injury_DayLevel3,ShelterNeeds,DisplacedHouseholds,DebrisBW,DebrisCS,DebrisTotal,Population,Households
06013301000,42341634.5,1030.19443179667,549.5093158483505,210.3768690675497,41.76037543907296,4.158994269178947,0.020278439618778066,0.10756224583019502,3.1151335725990066,0.3604167808953207,0.012122182379243895,3.1151335725990066,0.6626319263014011,0.05810589710017666,11.228276252746582,21.793720245361328,2836.4334106445312,2620.3207969665527,5456.754207611084,5514,2033
06013302005,39519196.7,1217.5004124194384,606.5466745793819,128.26638861279935,15.816346160019748,1.8701303312700475,0.018521361980674556,0.12057726987404749,2.5959834377426887,0.22583139760536142,0.01022999847191386,2.5959834377426887,0.5602415297180414,0.06500838958891109,2.215019941329956,3.637636661529541,1930.1121234893799,2298.6345291137695,4228.74641418457,7134,2489
06013302006,17929094.4,783.3527570664883,400.6457209289074,67.30382664874196,4.097346509748604,0.6003333553671837,0.006436937779653817,0.0602660846489016,1.29075940977782,0.09365795308258384,0.0034404891630401835,1.29075940977782,0.2919793901965022,0.031125481298658997,0.5023168921470642,0.8870479464530945,816.519558429718,1107.654333114624,1924.1738319396973,4032,1295
06013302007,33033316.3,1388.1579791903496,693.0771076902747,130.4091770555824,10.962943822494708,2.3927324049000163,0.02154923840498668,0.2840129818941932,2.419638285460678,0.21596471569500864,0.011559067308553495,2.419638285460678,1.1050649026874453,0.14823905227240175,10.954341888427734,17.324600219726562,1841.7656421661377,1751.8514394760132,3593.6169624328613,7412,2182
06013302009,42771554.9,1491.438660055399,775.5507579743862,121.33800449315459,4.307177105569281,0.3653762220637873,0.001719012430839939,0.014461708968156017,1.7822415667760652,0.10375205712625757,0.0012203700316604227,1.7822415667760652,0.15929657325614244,0.009207471399349743,0.8543068170547485,1.522576928138733,1627.3274421691895,1105.3032875061035,2732.630729675293,7817,2265
06013302011,33956169.8,971.9965130388737,458.74520042538643,102.66167254000902,9.491987943998538,2.1046399408078287,0.011156684064189903,0.6291755923884921,1.2778890235349536,0.12321208685170859,0.006001301575452089,1.2778890235349536,2.395251272711903,0.3253646844823379,1.3489586114883423,2.262936592102051,1484.9598407745361,2103.971242904663,3588.931083679199,5401,1476
06013302012,19631063.6,849.7323699146509,413.7085013538599,77.99359548836946,4.7975727749289945,0.7679780244870926,0.004331282449129503,0.05222678829545657,1.6837434045846749,0.12442559345799964,0.0026272445502399933,1.6837434045846749,0.2485537285974715,0.027714526121940253,0.7360978126525879,1.2268822193145752,925.9791374206543,467.0557379722595,1393.0349349975586,5348,1500
06013302013,16710321.6,712.2665392756462,353.6862150877714,53.70470083132386,2.0593390887370333,0.2832505785554531,0.0013248758332338184,0.045920711554572335,1.0785534847527742,0.06603138922946528,0.0008149193981807912,1.0785534847527742,0.2216337777208537,0.02402230031293584,0.301514208316803,0.7194857001304626,687.081515789032,218.96889805793762,906.050443649292,3359,1042
06013302014,33276724.1,1522.8019086420536,768.586806640029,115.19646495208144,3.836190794070717,0.578591933073767,0.0025712590459079365,0.1083861504739616,2.0596335085601822,0.12380775426572654,0.0015917803866614122,2.0596335085601822,0.4731356365955435,0.05707057294785045,0.191630020737648,0.3755519688129425,1433.4690570831299,554.4348955154419,1987.9039525985718,7906,2304
06013303104,32447892.5,1162.4625605940819,540.2624488919973,89.52632335200906,4.22296824521618,0.5256190629879711,0.0024483044689986855,0.02687878965662094,1.5758978151716292,0.1014720763778314,0.001505615047790343,1.5758978151716292,0.17474807298276573,0.01411699720483739,0.49700507521629333,0.9257646203041077,1368.5102462768555,554.8992156982422,1923.4094619750977,7206,1962
