Occupancy,NoDamage,Affected,Minor,Major,Destroyed
RES4 ,143.78933238983154,95.28014905005693,47.49508585780859,9.349401890882291,2.0860313616285566
RES2 ,461.41331616044044,715.9743701964617,1175.7045761346817,644.8633237853646,100.0444047707133
IND3 ,34.026043493300676,21.019299514591694,17.64562914520502,5.155297938734293,1.153730162215652
IND1 ,436.03681257367134,281.7274355441332,246.84296087175608,70.1838947928045,9.208898289194622
AGR1 ,359.80947683379054,214.44603300467134,132.26985529065132,34.918613549205475,7.556026965161436
RES1 ,150697.52947203815,101211.853570126,28110.836517229676,1536.092094605323,378.68823139881715
COM2 ,846.6460373215377,544.4471467658877,421.62339844182134,108.5536082063918,17.729805237337132
IND4 ,14.993200026452541,7.813299976289272,6.183800049126148,1.6791999961715192,0.3304999930696795
COM4 ,2741.1420274451375,1718.288200840354,932.2955794408917,215.40279600856593,37.87140445968544
RES3F,86.99145863950253,58.48411910235882,23.691632241010666,2.6541239575017244,0.17866704109474085
GOV2 ,28.703420147299767,10.817566946148872,4.032322018407285,0.4162990012409864,0.030392000073334202
IND5 ,173.25011267513037,107.89219079166651,52.265678863972425,14.901948362821713,3.69007041441364
COM5 ,316.41582502424717,195.8087132424116,103.60268845036626,20.874929728161078,3.2978428666683612
RES3D,969.5850050970912,667.9765057638288,262.4045262001455,37.798074770951644,4.235885203874204
REL1 ,548.7946824748069,342.01067505031824,243.9626837298274,74.97068033955293,16.261277570025413
GOV1 ,2569.3194373697042,1341.2106310799718,830.0172280147672,210.50039539538557,28.95231200091075
COM8 ,829.8461544290185,470.7157018482685,363.66772508621216,109.23680010251701,21.533621162692725
RES3A,4592.116942239925,3158.253336972557,1169.9833483048715,187.76248559591477,49.88385955119429
RES6 ,187.5704805329442,125.19039557874203,51.921533811837435,7.460399997304194,0.8571904033087776
COM9 ,8.642386965453625,5.007025517523289,3.9707130193710327,1.569927490549162,0.8099469859807868
IND6 ,1061.1769602615386,666.0774172097445,423.6175112463534,110.57014333509142,19.557970655761892
RES5 ,21.853265717625618,13.987763710319996,8.688561666756868,2.1543442987604067,0.31606456656299997
COM3 ,1378.6955485716462,825.7158515229821,605.862706951797,170.97034477681154,32.755544335290324
EDU1 ,417.085816770792,145.65357279777527,62.49683220870793,9.5961467409943,2.1676290970135597
RES3C,2853.832046546042,1981.6490682214499,778.2955490387976,106.50242372183129,16.720878780419298
RES3E,345.2612000256777,232.90003675967455,96.30822140350938,14.079719414468855,1.4508247838166426
EDU2 ,7.598100021481514,4.50450000166893,3.264799989759922,0.5900000003166497,0.04260000008071074
COM1 ,1634.2467824183404,1020.3529145270586,679.0757966786623,191.80220745154656,40.52230194940785
COM7 ,567.6694534234703,358.4676138907671,178.61813429743052,36.546514115005266,6.698289067964652
RES3B,3761.4182895142585,2676.0938982740045,998.9682949185371,141.55130734783597,30.968204597040312
COM10,65.4100449308753,38.46752627193928,27.603369124233723,8.522518397076055,0.9965415969272726
IND2 ,401.4020154736936,251.9045175947249,224.6211983896792,70.57870710152201,13.493562186420604
COM6 ,53.365403056144714,21.872205048799515,7.117904044687748,0.6136929995700484,0.03079450034420006
