Occupancy,NoDamage,Affected,Minor,Major,Destroyed
RES4 ,21.21069566454389,70.19600441865623,106.98746431618929,60.02893006335944,39.57690554743749
RES2 ,4.757395058622933,51.28921575320419,390.8751084115356,957.5567398965359,1693.5215602219105
IND3 ,4.169874616665766,10.409442100441083,23.570460504852235,21.56988277286291,19.280340168392286
IND1 ,44.08512522101228,124.52426402282435,312.3438369616633,321.67358740232885,241.37319198530167
AGR1 ,56.74356936544791,158.46436307004478,248.6607056761859,159.30990082677454,125.82146258084686
RES1 ,30791.06465578178,101304.2732834958,112612.63057203218,27127.053973261267,10099.976921126246
COM2 ,98.04187353517045,288.15326019319036,638.8977319474798,515.5782892368734,398.3288423694321
IND4 ,1.404600010420836,4.135999970472767,10.194800066528842,8.881699953228235,6.382900017313659
COM4 ,397.5939646201077,1236.4104555564263,1987.1506790660787,1187.1059457836673,836.738965750148
RES3F,13.033917275781278,48.58185518113896,67.20509612560272,30.98911838978529,12.190013453975553
GOV2 ,5.944901950191706,13.608501013368368,15.823256075382233,6.738577971234918,1.8847629985102685
IND5 ,28.584835717068927,94.29041810508352,104.95481926947832,62.680315342731774,61.489612377627054
COM5 ,47.75352451117942,143.76555528101744,229.2390942480415,136.5597921665758,82.68203322816407
RES3D,150.825220205581,546.5220805923891,705.4050212849397,343.9547001924366,195.2929776534147
REL1 ,60.13894041212916,178.7284902105166,364.6564161358401,320.8236865857616,301.6524646791513
GOV1 ,450.4340256997966,994.0894189375176,1629.432682711864,1127.115363607183,778.9285105694435
COM8 ,98.39153204967442,250.51070176038775,562.4203922062879,483.4701993204653,400.20717598404735
RES3A,795.3906129787138,2781.7609452612087,3556.302024406614,1224.6237680967897,799.9226181295526
RES6 ,25.869088079416542,96.6822952303337,142.9847386367619,70.3077800553292,37.156098097213544
COM9 ,0.6910830124325003,2.565215531139984,6.419100005645305,5.261476464569569,5.063124966924079
IND6 ,157.5208770725294,451.9409748803446,754.4170637885109,514.0473156175576,403.07376911793835
RES5 ,2.390233088619425,7.758607964613475,14.933971765451133,12.978250039741397,8.938936969498172
COM3 ,169.98388325255655,463.365349554515,955.7023019138724,773.1830373136327,651.7654274955275
EDU1 ,83.43310594990908,174.9785296821501,229.57157289265888,108.61599728954025,40.40079388972663
RES3C,442.6974847797683,1622.0963910369028,2189.9622995962854,941.3566482951865,540.8871569807525
RES3E,44.2863465204573,178.1590533205308,258.93844608496875,137.25392543151975,71.36222966673085
EDU2 ,0.8272999846376479,2.3454000232741237,5.515099979937077,4.801799952983856,2.5104000056162477
COM1 ,210.68585428150982,629.6598441444439,1159.6869139511255,835.0551431085914,730.9122453153541
COM7 ,79.8422938303047,264.42099035216233,411.9199775713496,239.30424418766052,152.51249811195885
RES3B,588.8274248220914,2248.532052108305,3037.0160724148154,1102.4324575429782,632.191991241707
COM10,6.77558577615855,20.326641437233775,43.10500103374943,37.447714392095804,33.34505758341402
IND2 ,37.465706786708324,113.27457215248432,285.5847077486105,269.6988163953647,255.97619720955845
COM6 ,11.167139974422753,27.80805180221796,30.281958684325218,11.051112921908498,2.6917364669352537
