BldgType,NoDamage,Affected,Minor,Major,Destroyed
C3L ,0.2066003188956529,0.6500704161589965,4.813945026602596,8.105297405272722,120.58748650550842
URMM,0.0010257999892928638,0.004559599750791676,0.04656159714795649,0.3386412002146244,5.687211573123932
S2L ,75.46387601326569,194.44488972702675,518.7131154604722,479.03275364264846,313.1540692684939
C2L ,403.063662983448,1242.1239592500497,2201.368059977889,1868.164189520292,1699.9487296000589
RM1L,605.7507070903666,1014.9890856333077,1992.356981229037,1484.8278705570847,965.2000614297576
C1L ,27.287904327269644,76.1159928869456,209.96062671393156,149.91539978049695,59.426876281388104
PC2L,42.890672772424296,111.77581393392757,313.97578459978104,279.14603884518147,156.7365906019695
PC2M,0.7160098613239825,2.894317638128996,11.501621559262276,10.362260967493057,3.967689747456461
S2M ,0.7195181801216677,4.889331898652017,27.94769884645939,19.580199658870697,6.714950982481241
S1H ,0.001210999966133386,0.021388599183410406,0.359870582818985,0.9893961846828461,0.6341335624456406
S4L ,77.52998955010844,171.54043047368032,468.96052482235245,454.51014506071806,274.47071191389114
C3M ,0.0018755199707811698,0.01085743959993124,0.14117712154984474,0.45542606711387634,1.3762637972831726
S1M ,0.4472400489175925,3.2142827128991485,13.673562750220299,15.447166860103607,8.047547217458487
URML,1.517732455395162,7.688152134884149,36.96771099604666,86.31794315576553,468.10315757989883
RM2L,232.84048531518783,467.402521581389,990.768493719399,741.0554464310408,477.9868567720987
S5L ,0.5296865763084497,1.095833178726025,8.077728515025228,21.089757146313787,200.66029584407806
S1L ,66.76763522400142,167.63183097275032,488.32851268548984,527.0506398566067,351.67488391153165
C2M ,3.8757194113277365,26.660047333105467,70.26017870241776,37.48521387577057,16.629242696100846
W2  ,717.1304208465153,2832.171016411856,3622.588037913665,1637.4513717377558,726.8656382611807
S4M ,0.928937281249091,3.638860227772966,21.334462836384773,21.718647986650467,9.744591107591987
S3  ,17.580454799332074,84.98430650622322,444.3240204876056,627.9989512371831,697.1979721076787
RM1M,3.4591201701114187,17.094253083807416,51.24822121672332,36.12306846678257,10.687137755565345
MH  ,4.78893505846645,51.62370375154569,393.31871336861514,963.365520849824,1703.6631463468075
RM2M,2.402133862487972,13.636892100796103,47.205010280013084,32.56528057157993,7.625581839587539
C2H ,0.007608599844388664,0.1529673971235752,1.0537059605121613,0.680825799703598,0.13889219611883163
S4H ,0.006186599610373378,0.09907379373908043,0.9169313609600067,0.8003015518188477,0.15150659531354904
W1  ,32551.42725529149,107745.83092236519,120123.84940966964,28762.856633187504,10710.178658127843
PC1 ,93.76430973317474,355.09177899203496,992.0616457583383,865.7830365225673,659.1466192649677
C1H ,0.017933640745468438,0.20821955241262913,2.584419995546341,2.5686532258987427,0.7694735452532768
RM2H,0.032174788997508585,0.3225110713392496,3.493587225675583,3.541827380657196,0.681999433785677
C1M ,0.8756487650971394,5.620353480335325,30.58906653523445,19.182285144925117,6.180946093052626
